imagen,cantidad,rutas
2182-109-29337-15745.jpg,2,\\10.18.3.1\home\img_art\2182-109-29337-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2182-109-29337-15745.jpg
2182-111-23654-100196.jpg,2,\\10.18.3.1\home\img_art\2182-111-23654-100196.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2182-111-23654-100196.jpg
2182-111-27401-15745.jpg,2,\\10.18.3.1\home\img_art\2182-111-27401-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2182-111-27401-15745.jpg
2182-111-27401-35312.jpg,2,\\10.18.3.1\home\img_art\2182-111-27401-35312.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2182-111-27401-35312.jpg
2182-300-29337-95669.jpg,2,\\10.18.3.1\home\img_art\2182-300-29337-95669.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2182-300-29337-95669.jpg
2184-100-29320-15745.jpg,2,\\10.18.3.1\home\img_art\2184-100-29320-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-100-29320-15745.jpg
2184-100-29320-78276.jpg,2,\\10.18.3.1\home\img_art\2184-100-29320-78276.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-100-29320-78276.jpg
2184-100-29320-83517.jpg,2,\\10.18.3.1\home\img_art\2184-100-29320-83517.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-100-29320-83517.jpg
2184-101-23580-15745.jpg,2,\\10.18.3.1\home\img_art\2184-101-23580-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-101-23580-15745.jpg
2184-101-23580-35312.jpg,2,\\10.18.3.1\home\img_art\2184-101-23580-35312.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-101-23580-35312.jpg
2184-101-23580-78276.jpg,2,\\10.18.3.1\home\img_art\2184-101-23580-78276.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2184-101-23580-78276.jpg
2270-113-29219-95991.jpg,2,\\10.18.3.1\home\img_art\2270-113-29219-95991.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2270-113-29219-95991.jpg
2274-112-26996-99009.jpg,2,\\10.18.3.1\home\img_art\2274-112-26996-99009.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2274-112-26996-99009.jpg
2275-107-27080-15745.jpg,2,\\10.18.3.1\home\img_art\2275-107-27080-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2275-107-27080-15745.jpg
2275-121-27615-102137.jpg,2,\\10.18.3.1\home\img_art\2275-121-27615-102137.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2275-121-27615-102137.jpg
2275-121-27615-43122.jpg,2,\\10.18.3.1\home\img_art\2275-121-27615-43122.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2275-121-27615-43122.jpg
2275-202-27080-95871.jpg,2,\\10.18.3.1\home\img_art\2275-202-27080-95871.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2275-202-27080-95871.jpg
2276-214-29240-93249.jpg,2,\\10.18.3.1\home\img_art\2276-214-29240-93249.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2276-214-29240-93249.jpg
2289-106-27395-43122.jpg,2,\\10.18.3.1\home\img_art\2289-106-27395-43122.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2289-106-27395-43122.jpg
2298-203-29216-15745.jpg,2,\\10.18.3.1\home\img_art\2298-203-29216-15745.jpg | \\10.18.3.1\home\img_art\c08cef94c9cb4143a9e72bfacd5c6cdf\2298-203-29216-15745.jpg
2305-1512-9569-16072.jpg,2,\\10.18.3.1\home\img_art\2305-1512-9569-16072.jpg | \\10.18.3.1\home\img_art\-101\2305-1512-9569-16072.jpg
2305-1512-9569-78276.jpg,2,\\10.18.3.1\home\img_art\2305-1512-9569-78276.jpg | \\10.18.3.1\home\img_art\-101\2305-1512-9569-78276.jpg
2352-107-29461-101732.jpg,2,\\10.18.3.1\home\img_art\2352-107-29461-101732.jpg | \\10.18.3.1\home\img_art\-101\2352-107-29461-101732.jpg
2352-112-9569-16072.jpg,2,\\10.18.3.1\home\img_art\2352-112-9569-16072.jpg | \\10.18.3.1\home\img_art\-101\2352-112-9569-16072.jpg
2352-112-9569-78276.jpg,2,\\10.18.3.1\home\img_art\2352-112-9569-78276.jpg | \\10.18.3.1\home\img_art\-101\2352-112-9569-78276.jpg
2352-116-29443-89869.jpg,2,\\10.18.3.1\home\img_art\2352-116-29443-89869.jpg | \\10.18.3.1\home\img_art\-101\2352-116-29443-89869.jpg
2354-108-28983-100399.jpg,2,\\10.18.3.1\home\img_art\2354-108-28983-100399.jpg | \\10.18.3.1\home\img_art\-101\2354-108-28983-100399.jpg
2354-108-28983-100471.jpg,2,\\10.18.3.1\home\img_art\2354-108-28983-100471.jpg | \\10.18.3.1\home\img_art\-101\2354-108-28983-100471.jpg
2354-118-28576-97250.jpg,2,\\10.18.3.1\home\img_art\2354-118-28576-97250.jpg | \\10.18.3.1\home\img_art\-101\2354-118-28576-97250.jpg
2354-118-28576-99212.jpg,2,\\10.18.3.1\home\img_art\2354-118-28576-99212.jpg | \\10.18.3.1\home\img_art\-101\2354-118-28576-99212.jpg
2357-103-19217-66.jpg,2,\\10.18.3.1\home\img_art\2357-103-19217-66.jpg | \\10.18.3.1\home\img_art\-101\2357-103-19217-66.jpg
2357-103-28503-66.jpg,2,\\10.18.3.1\home\img_art\2357-103-28503-66.jpg | \\10.18.3.1\home\img_art\-101\2357-103-28503-66.jpg
2357-108-27852-100108.jpg,2,\\10.18.3.1\home\img_art\2357-108-27852-100108.jpg | \\10.18.3.1\home\img_art\-101\2357-108-27852-100108.jpg
2357-108-28496-97266.jpg,2,\\10.18.3.1\home\img_art\2357-108-28496-97266.jpg | \\10.18.3.1\home\img_art\-101\2357-108-28496-97266.jpg
2358-100-28245-92440.jpg,2,\\10.18.3.1\home\img_art\2358-100-28245-92440.jpg | \\10.18.3.1\home\img_art\-101\2358-100-28245-92440.jpg
2361-200-9569-78276.jpg,2,\\10.18.3.1\home\img_art\2361-200-9569-78276.jpg | \\10.18.3.1\home\img_art\-101\2361-200-9569-78276.jpg
2361-202-28633-101961.jpg,2,\\10.18.3.1\home\img_art\2361-202-28633-101961.jpg | \\10.18.3.1\home\img_art\-101\2361-202-28633-101961.jpg
2361-202-28633-99437.jpg,2,\\10.18.3.1\home\img_art\2361-202-28633-99437.jpg | \\10.18.3.1\home\img_art\-101\2361-202-28633-99437.jpg
